"ID","lon","lat","ele","time"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909356616,12.1066293307,"2.54","2021-06-29T21:00:52Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909742184,12.1066362876,"1.58","2021-06-29T21:01:03Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909427863,12.1066125669,"1.58","2021-06-29T21:01:13Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909344044,12.1065862477,"2.54","2021-06-29T21:01:22Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909259386,12.1065973118,"3.50","2021-06-29T21:01:29Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290919736,12.1065907739,"3.50","2021-06-29T21:01:35Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909368351,12.1065895166,"3.02","2021-06-29T21:01:44Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909159642,12.1065856609,"2.54","2021-06-29T21:01:53Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909088396,12.1065693162,"2.54","2021-06-29T21:02:01Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908997033,12.1065646224,"3.02","2021-06-29T21:02:12Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908978593,12.1065737586,"3.02","2021-06-29T21:02:20Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909033913,12.1065662149,"3.98","2021-06-29T21:02:29Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909377571,12.1065687295,"3.02","2021-06-29T21:02:37Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909256034,12.1065564919,"1.58","2021-06-29T21:02:47Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909078337,12.1065622754,"2.06","2021-06-29T21:02:56Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909031399,12.1065713279,"1.58","2021-06-29T21:03:07Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909038104,12.1065733396,"1.10","2021-06-29T21:03:16Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909201551,12.1065845713,"1.10","2021-06-29T21:03:25Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909546047,12.1066139918,"0.14","2021-06-29T21:03:36Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909416128,12.1065810509,"1.10","2021-06-29T21:03:45Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909726258,12.1065792907,"0.14","2021-06-29T21:03:57Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909639087,12.1066007484,"0.62","2021-06-29T21:04:03Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909757271,12.1065832302,"0.62","2021-06-29T21:04:13Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290964663,12.1065917797,"3.98","2021-06-29T21:04:18Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290966507,12.1065846551,"5.42","2021-06-29T21:04:22Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909649145,12.1065802127,"5.91","2021-06-29T21:04:30Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909690216,12.1065976471,"5.91","2021-06-29T21:04:38Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909669261,12.1066250559,"6.87","2021-06-29T21:04:46Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909592148,12.1066399757,"7.35","2021-06-29T21:04:54Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909508329,12.1066118963,"5.91","2021-06-29T21:05:02Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909402717,12.1066030115,"5.42","2021-06-29T21:05:10Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909331471,12.1065986529,"4.94","2021-06-29T21:05:19Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909317221,12.1065854095,"4.46","2021-06-29T21:05:28Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290937338,12.1065795422,"5.91","2021-06-29T21:05:40Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909467258,12.106593037,"4.94","2021-06-29T21:05:48Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909282856,12.1065615211,"4.46","2021-06-29T21:05:57Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909374218,12.1065548994,"4.46","2021-06-29T21:06:05Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909439597,12.1065760218,"5.42","2021-06-29T21:06:17Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909360807,12.1065998264,"5.91","2021-06-29T21:06:25Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909201551,12.1065992396,"4.46","2021-06-29T21:06:36Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909192331,12.1065982338,"3.98","2021-06-29T21:06:37Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908898126,12.106572669,"5.91","2021-06-29T21:06:47Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908800896,12.1065662988,"6.39","2021-06-29T21:06:54Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908826042,12.1065566596,"6.39","2021-06-29T21:07:03Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908981107,12.1065593418,"5.42","2021-06-29T21:07:12Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908909023,12.1065643709,"4.94","2021-06-29T21:07:21Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909002062,12.1065776143,"3.98","2021-06-29T21:07:32Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290923005,12.1065927017,"5.91","2021-06-29T21:07:41Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909307163,12.1065919474,"6.87","2021-06-29T21:07:50Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290923927,12.1066212002,"6.87","2021-06-29T21:07:58Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909250166,12.1066352818,"6.87","2021-06-29T21:08:06Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909163833,12.106624553,"7.35","2021-06-29T21:08:15Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909091748,12.1066189371,"8.31","2021-06-29T21:08:24Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909054868,12.10661944,"9.75","2021-06-29T21:08:31Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909100968,12.1066390537,"9.27","2021-06-29T21:08:41Z"
